age,job,marital,education,balance,housing,loan,day,month,campaign,pdays,previous,poutcome,result
49,admini_management,married,tertiary,378,yes,no,5,5,1,-1,0,unknown,no
60,admini_management,married,secondary,39,yes,yes,5,5,1,-1,0,unknown,no
59,blue-collar,married,secondary,0,yes,no,5,5,1,-1,0,unknown,no
57,blue-collar,single,secondary,63,yes,no,5,5,1,-1,0,unknown,no
25,blue-collar,married,secondary,-7,yes,no,5,5,1,-1,0,unknown,no
53,blue-collar,married,secondary,-3,no,no,5,5,1,-1,0,unknown,no
36,admini_management,single,secondary,506,yes,no,5,5,1,-1,0,unknown,no
37,admini_management,single,secondary,0,yes,no,5,5,1,-1,0,unknown,no
44,services,single,secondary,2586,yes,no,5,5,1,-1,0,unknown,no
50,admini_management,married,secondary,49,yes,no,5,5,2,-1,0,unknown,no
54,no_active_income,married,secondary,529,yes,no,5,5,1,-1,0,unknown,no
36,admini_management,single,primary,-171,yes,no,5,5,1,-1,0,unknown,no
58,self-employed,married,tertiary,-364,yes,no,5,5,1,-1,0,unknown,no
44,blue-collar,married,secondary,0,yes,no,5,5,2,-1,0,unknown,no
55,blue-collar,single,secondary,0,no,no,5,5,1,-1,0,unknown,no
29,admini_management,single,tertiary,0,yes,no,5,5,1,-1,0,unknown,no
54,blue-collar,married,secondary,1291,yes,no,5,5,1,-1,0,unknown,no
48,admini_management,single,tertiary,-244,yes,no,5,5,1,-1,0,unknown,no
32,admini_management,married,tertiary,0,yes,no,5,5,1,-1,0,unknown,no
42,admini_management,single,secondary,-76,yes,no,5,5,1,-1,0,unknown,no
24,blue-collar,single,secondary,-103,yes,yes,5,5,1,-1,0,unknown,no
38,self-employed,single,tertiary,243,no,yes,5,5,1,-1,0,unknown,no
38,admini_management,single,tertiary,424,yes,no,5,5,1,-1,0,unknown,no
46,services,married,primary,179,yes,no,5,5,1,-1,0,unknown,no
32,admini_management,married,tertiary,0,yes,no,5,5,1,-1,0,unknown,no
53,blue-collar,single,secondary,989,yes,no,5,5,1,-1,0,unknown,no
57,blue-collar,married,primary,249,yes,no,5,5,1,-1,0,unknown,no
33,services,married,secondary,790,yes,no,5,5,1,-1,0,unknown,no
51,admini_management,married,tertiary,6530,yes,no,5,5,1,-1,0,unknown,no
60,no_active_income,married,tertiary,100,no,no,5,5,1,-1,0,unknown,no
59,admini_management,single,tertiary,59,yes,no,5,5,1,-1,0,unknown,no
55,blue-collar,married,secondary,1205,yes,no,5,5,2,-1,0,unknown,no
57,blue-collar,married,secondary,5935,yes,yes,5,5,1,-1,0,unknown,no
31,services,married,secondary,25,yes,yes,5,5,1,-1,0,unknown,no
54,admini_management,married,secondary,282,yes,yes,5,5,1,-1,0,unknown,no
55,blue-collar,married,primary,23,yes,no,5,5,1,-1,0,unknown,no
43,blue-collar,married,secondary,1937,yes,no,5,5,1,-1,0,unknown,no
53,blue-collar,married,secondary,384,yes,no,5,5,1,-1,0,unknown,no
44,blue-collar,married,secondary,582,no,yes,5,5,1,-1,0,unknown,no
55,services,single,secondary,91,no,no,5,5,1,-1,0,unknown,no
49,services,single,secondary,0,yes,yes,5,5,1,-1,0,unknown,no
55,services,single,secondary,1,yes,no,5,5,1,-1,0,unknown,no
45,admini_management,single,secondary,206,yes,no,5,5,1,-1,0,unknown,no
47,services,single,secondary,164,no,no,5,5,1,-1,0,unknown,no
42,blue-collar,single,secondary,690,yes,no,5,5,1,-1,0,unknown,no
59,admini_management,married,secondary,2343,yes,no,5,5,1,-1,0,unknown,yes
46,self-employed,married,tertiary,137,yes,yes,5,5,1,-1,0,unknown,no
51,blue-collar,married,primary,173,yes,no,5,5,2,-1,0,unknown,no
56,admini_management,married,secondary,45,no,no,5,5,1,-1,0,unknown,yes
41,blue-collar,married,secondary,1270,yes,no,5,5,1,-1,0,unknown,yes
46,admini_management,single,secondary,16,yes,yes,5,5,2,-1,0,unknown,no
57,no_active_income,married,secondary,486,yes,no,5,5,2,-1,0,unknown,no
42,admini_management,single,secondary,50,no,no,5,5,1,-1,0,unknown,no
30,blue-collar,married,secondary,152,yes,yes,5,5,2,-1,0,unknown,no
60,admini_management,married,secondary,290,yes,no,5,5,1,-1,0,unknown,no
57,self-employed,single,secondary,-37,no,no,5,5,1,-1,0,unknown,no
36,admini_management,married,tertiary,101,yes,yes,5,5,1,-1,0,unknown,no
55,blue-collar,married,secondary,383,no,no,5,5,1,-1,0,unknown,no
60,no_active_income,married,tertiary,81,yes,no,5,5,1,-1,0,unknown,no
39,blue-collar,married,secondary,0,yes,no,5,5,1,-1,0,unknown,no
46,admini_management,married,tertiary,229,yes,no,5,5,1,-1,0,unknown,no
44,blue-collar,married,secondary,-674,yes,no,5,5,1,-1,0,unknown,no
53,blue-collar,married,primary,90,no,no,5,5,1,-1,0,unknown,no
52,blue-collar,married,primary,128,yes,no,5,5,1,-1,0,unknown,no
59,blue-collar,married,primary,179,yes,no,5,5,3,-1,0,unknown,no
27,blue-collar,single,tertiary,0,yes,no,5,5,1,-1,0,unknown,no
44,blue-collar,married,secondary,54,yes,no,5,5,1,-1,0,unknown,no
47,blue-collar,married,tertiary,151,yes,no,5,5,1,-1,0,unknown,no
34,admini_management,married,secondary,61,no,yes,5,5,1,-1,0,unknown,no
59,no_active_income,single,secondary,30,yes,no,5,5,1,-1,0,unknown,no
45,admini_management,married,tertiary,523,yes,no,5,5,2,-1,0,unknown,no
29,services,single,secondary,31,yes,no,5,5,1,-1,0,unknown,no
46,blue-collar,single,secondary,79,no,no,5,5,1,-1,0,unknown,no
56,self-employed,married,primary,-34,yes,yes,5,5,2,-1,0,unknown,no
36,blue-collar,married,primary,448,yes,no,5,5,1,-1,0,unknown,no
59,no_active_income,single,primary,81,yes,no,5,5,1,-1,0,unknown,no
44,blue-collar,married,secondary,144,yes,no,5,5,2,-1,0,unknown,no
41,admini_management,married,secondary,351,yes,no,5,5,1,-1,0,unknown,no
33,admini_management,single,tertiary,-67,yes,no,5,5,1,-1,0,unknown,no
59,admini_management,single,tertiary,262,no,no,5,5,1,-1,0,unknown,no
57,blue-collar,married,primary,0,no,no,5,5,1,-1,0,unknown,no
51,blue-collar,married,secondary,26,yes,no,5,5,1,-1,0,unknown,no
43,services,married,secondary,41,yes,yes,5,5,2,-1,0,unknown,no
52,blue-collar,married,tertiary,7,no,yes,5,5,1,-1,0,unknown,no
33,blue-collar,single,secondary,105,yes,no,5,5,2,-1,0,unknown,no
29,admini_management,single,secondary,818,yes,yes,5,5,1,-1,0,unknown,no
34,services,married,secondary,-16,yes,yes,5,5,1,-1,0,unknown,no
31,blue-collar,married,secondary,0,yes,no,5,5,1,-1,0,unknown,no
55,services,married,secondary,2476,yes,no,5,5,1,-1,0,unknown,yes
32,admini_management,single,secondary,217,yes,no,5,5,1,-1,0,unknown,no
38,blue-collar,single,secondary,1685,yes,no,5,5,1,-1,0,unknown,no
55,admini_management,single,secondary,802,yes,yes,5,5,2,-1,0,unknown,no
28,no_active_income,single,tertiary,0,yes,no,5,5,2,-1,0,unknown,no
23,blue-collar,married,secondary,94,yes,no,5,5,1,-1,0,unknown,no
32,blue-collar,single,secondary,0,yes,no,5,5,1,-1,0,unknown,no
32,blue-collar,married,secondary,517,yes,no,5,5,1,-1,0,unknown,no
46,blue-collar,married,secondary,265,yes,no,5,5,1,-1,0,unknown,no
53,housemaid,single,primary,947,yes,no,5,5,1,-1,0,unknown,no
34,self-employed,single,secondary,3,yes,no,5,5,1,-1,0,unknown,no
57,no_active_income,married,tertiary,42,no,no,5,5,1,-1,0,unknown,no
37,blue-collar,married,secondary,37,yes,no,5,5,1,-1,0,unknown,no
59,blue-collar,married,secondary,57,yes,no,5,5,1,-1,0,unknown,no
33,services,married,secondary,22,yes,no,5,5,1,-1,0,unknown,no
56,blue-collar,single,primary,8,yes,no,5,5,2,-1,0,unknown,no
48,no_active_income,married,secondary,293,yes,no,5,5,1,-1,0,unknown,no
43,services,married,primary,3,yes,no,5,5,2,-1,0,unknown,no
54,blue-collar,married,primary,348,yes,no,5,5,2,-1,0,unknown,no
26,student,single,secondary,0,yes,no,5,5,2,-1,0,unknown,no
40,admini_management,married,tertiary,-4,yes,no,5,5,1,-1,0,unknown,no
39,admini_management,married,secondary,18,yes,no,5,5,1,-1,0,unknown,no
50,blue-collar,married,primary,139,no,no,5,5,2,-1,0,unknown,no
41,services,married,secondary,0,yes,no,5,5,2,-1,0,unknown,no
60,no_active_income,single,secondary,216,yes,no,5,5,1,-1,0,unknown,no
52,blue-collar,married,secondary,782,yes,no,5,5,3,-1,0,unknown,no
48,blue-collar,married,secondary,904,yes,no,5,5,2,-1,0,unknown,no
39,blue-collar,single,tertiary,47,yes,no,5,5,1,-1,0,unknown,no
47,services,single,secondary,176,yes,no,5,5,2,-1,0,unknown,no
40,blue-collar,married,secondary,1225,yes,no,5,5,5,-1,0,unknown,no
45,blue-collar,married,secondary,86,yes,no,5,5,1,-1,0,unknown,no
26,admini_management,single,secondary,82,yes,no,5,5,1,-1,0,unknown,no
52,admini_management,married,tertiary,271,yes,no,5,5,1,-1,0,unknown,no
54,blue-collar,married,secondary,1378,yes,no,5,5,1,-1,0,unknown,no
54,admini_management,married,tertiary,184,no,no,5,5,2,-1,0,unknown,yes
50,blue-collar,married,primary,0,no,no,5,5,3,-1,0,unknown,no
35,blue-collar,married,secondary,0,yes,no,5,5,1,-1,0,unknown,no
44,services,married,secondary,1357,yes,yes,5,5,1,-1,0,unknown,no
35,no_active_income,single,primary,434,no,no,5,5,1,-1,0,unknown,no
60,admini_management,single,secondary,92,yes,no,5,5,1,-1,0,unknown,no
53,admini_management,single,secondary,1151,yes,no,5,5,1,-1,0,unknown,no
48,no_active_income,married,secondary,41,yes,no,5,5,2,-1,0,unknown,no
34,blue-collar,married,secondary,51,yes,no,5,5,2,-1,0,unknown,no
54,services,married,secondary,214,yes,no,5,5,2,-1,0,unknown,no
51,admini_management,married,secondary,1161,yes,no,5,5,1,-1,0,unknown,no
31,services,married,tertiary,37,yes,no,5,5,1,-1,0,unknown,no
35,blue-collar,single,secondary,787,yes,no,5,5,2,-1,0,unknown,no
35,services,married,secondary,59,yes,no,5,5,1,-1,0,unknown,no
38,blue-collar,married,secondary,253,yes,no,5,5,1,-1,0,unknown,no
36,admini_management,married,tertiary,211,yes,no,5,5,2,-1,0,unknown,no
58,no_active_income,married,primary,235,yes,no,5,5,1,-1,0,unknown,no
54,admini_management,married,secondary,4080,no,no,5,5,1,-1,0,unknown,no
34,blue-collar,single,secondary,53,yes,yes,5,5,1,-1,0,unknown,no
31,admini_management,single,tertiary,0,yes,no,5,5,1,-1,0,unknown,no
51,no_active_income,married,secondary,2127,yes,no,5,5,1,-1,0,unknown,no
33,admini_management,married,tertiary,377,yes,no,5,5,1,-1,0,unknown,no
55,admini_management,married,tertiary,73,yes,no,5,5,2,-1,0,unknown,no
42,admini_management,married,secondary,445,yes,no,5,5,1,-1,0,unknown,no
34,blue-collar,married,secondary,243,yes,no,5,5,1,-1,0,unknown,no
33,blue-collar,single,secondary,307,yes,no,5,5,2,-1,0,unknown,no
38,services,married,secondary,155,yes,no,5,5,1,-1,0,unknown,no
50,blue-collar,single,tertiary,173,no,yes,5,5,1,-1,0,unknown,no
43,admini_management,married,tertiary,400,yes,no,5,5,1,-1,0,unknown,no
61,blue-collar,single,primary,1428,yes,no,5,5,2,-1,0,unknown,no
47,admini_management,married,secondary,219,yes,no,5,5,1,-1,0,unknown,no
48,self-employed,married,tertiary,7,yes,no,5,5,1,-1,0,unknown,no
44,blue-collar,married,secondary,575,yes,no,5,5,1,-1,0,unknown,no
35,services,married,secondary,0,yes,no,5,5,1,-1,0,unknown,no
50,services,married,secondary,5699,yes,no,5,5,2,-1,0,unknown,no
41,admini_management,married,tertiary,176,yes,yes,5,5,1,-1,0,unknown,no
41,admini_management,married,tertiary,517,yes,no,5,5,1,-1,0,unknown,no
42,no_active_income,married,secondary,56,yes,no,5,5,1,-1,0,unknown,no
38,blue-collar,married,secondary,-390,yes,no,5,5,1,-1,0,unknown,no
53,no_active_income,married,secondary,330,yes,no,5,5,2,-1,0,unknown,no
59,housemaid,single,primary,195,no,no,5,5,2,-1,0,unknown,no
36,services,married,secondary,301,yes,no,5,5,1,-1,0,unknown,no
54,blue-collar,married,primary,-41,yes,no,5,5,1,-1,0,unknown,no
40,blue-collar,married,tertiary,483,yes,no,5,5,1,-1,0,unknown,no
46,housemaid,married,primary,965,no,no,5,5,1,-1,0,unknown,no
39,admini_management,married,tertiary,378,yes,yes,5,5,2,-1,0,unknown,no
40,no_active_income,married,secondary,219,yes,no,5,5,1,-1,0,unknown,no
28,blue-collar,married,primary,324,yes,no,5,5,1,-1,0,unknown,no
35,self-employed,single,secondary,-69,yes,no,5,5,1,-1,0,unknown,no
55,no_active_income,married,secondary,0,no,yes,5,5,1,-1,0,unknown,no
48,blue-collar,married,primary,278,yes,no,5,5,2,-1,0,unknown,no
33,admini_management,single,tertiary,34,yes,no,5,5,1,-1,0,unknown,no
53,services,single,secondary,1467,yes,no,5,5,1,-1,0,unknown,no
47,blue-collar,married,primary,-12,yes,no,5,5,1,-1,0,unknown,no
31,services,married,secondary,388,yes,no,5,5,2,-1,0,unknown,no
57,self-employed,married,secondary,294,yes,no,5,5,2,-1,0,unknown,no
55,blue-collar,married,primary,627,yes,no,5,5,1,-1,0,unknown,no
45,blue-collar,married,primary,25,yes,no,5,5,1,-1,0,unknown,no
53,admini_management,single,secondary,315,yes,no,5,5,2,-1,0,unknown,no
37,blue-collar,married,primary,0,yes,no,5,5,1,-1,0,unknown,no
44,admini_management,single,secondary,66,yes,no,5,5,1,-1,0,unknown,no
49,blue-collar,single,primary,-9,yes,yes,5,5,1,-1,0,unknown,no
46,blue-collar,married,secondary,349,yes,yes,5,5,1,-1,0,unknown,no
38,admini_management,married,secondary,0,no,no,5,5,1,-1,0,unknown,no
43,blue-collar,married,secondary,434,yes,no,5,5,1,-1,0,unknown,no
49,admini_management,married,tertiary,3237,yes,no,5,5,3,-1,0,unknown,no
22,blue-collar,single,secondary,0,yes,no,5,5,2,-1,0,unknown,no
40,admini_management,married,tertiary,207,yes,no,5,5,1,-1,0,unknown,no
39,blue-collar,married,secondary,483,yes,no,5,5,1,-1,0,unknown,no
51,services,married,secondary,2248,yes,no,5,5,2,-1,0,unknown,no
49,admini_management,married,secondary,428,yes,no,5,5,1,-1,0,unknown,no
53,blue-collar,married,secondary,0,yes,yes,5,5,1,-1,0,unknown,no
34,services,single,secondary,0,yes,no,5,5,1,-1,0,unknown,no
33,blue-collar,single,secondary,140,yes,no,5,5,1,-1,0,unknown,no
50,admini_management,single,tertiary,297,yes,no,5,5,1,-1,0,unknown,no
39,blue-collar,married,primary,279,yes,no,5,5,1,-1,0,unknown,no
59,self-employed,single,secondary,901,yes,no,5,5,3,-1,0,unknown,no
30,blue-collar,single,secondary,2573,yes,no,5,5,2,-1,0,unknown,no
36,services,married,secondary,143,yes,yes,5,5,1,-1,0,unknown,no
40,blue-collar,married,secondary,475,yes,no,5,5,2,-1,0,unknown,no
53,blue-collar,married,secondary,70,yes,no,5,5,2,-1,0,unknown,no
34,admini_management,single,tertiary,318,yes,no,5,5,2,-1,0,unknown,no
37,blue-collar,married,secondary,275,yes,no,5,5,1,-1,0,unknown,no
42,admini_management,single,tertiary,742,yes,no,5,5,3,-1,0,unknown,no
41,self-employed,married,primary,236,yes,no,5,5,1,-1,0,unknown,no
30,student,single,tertiary,25,yes,no,5,5,2,-1,0,unknown,no
37,admini_management,single,tertiary,600,yes,no,5,5,1,-1,0,unknown,no
39,admini_management,single,secondary,-349,yes,no,5,5,2,-1,0,unknown,no
41,blue-collar,married,primary,183,yes,yes,5,5,2,-1,0,unknown,no
40,blue-collar,married,primary,0,yes,no,5,5,1,-1,0,unknown,no
42,admini_management,single,tertiary,0,yes,yes,5,5,2,-1,0,unknown,yes
40,blue-collar,single,primary,0,yes,no,5,5,1,-1,0,unknown,no
57,blue-collar,married,secondary,1078,yes,no,5,5,4,-1,0,unknown,no
56,self-employed,single,secondary,155,no,no,5,5,3,-1,0,unknown,no
37,admini_management,married,secondary,190,yes,no,5,5,2,-1,0,unknown,no
59,no_active_income,married,secondary,319,yes,no,5,5,3,-1,0,unknown,no
39,services,single,secondary,-185,yes,no,5,5,3,-1,0,unknown,no
49,services,married,secondary,47,no,no,5,5,2,-1,0,unknown,no
38,services,single,secondary,570,yes,no,5,5,2,-1,0,unknown,no
36,self-employed,married,tertiary,19,no,no,5,5,2,-1,0,unknown,no
50,blue-collar,married,primary,61,yes,no,5,5,3,-1,0,unknown,no
41,admini_management,married,secondary,-62,yes,yes,5,5,2,-1,0,unknown,no
54,blue-collar,married,tertiary,258,no,no,5,5,4,-1,0,unknown,no
58,blue-collar,married,primary,76,yes,no,5,5,2,-1,0,unknown,no
30,blue-collar,single,secondary,0,yes,no,5,5,2,-1,0,unknown,no
33,admini_management,single,secondary,352,yes,no,5,5,2,-1,0,unknown,no
47,admini_management,married,secondary,368,yes,no,5,5,2,-1,0,unknown,no
50,blue-collar,single,tertiary,339,yes,no,5,5,3,-1,0,unknown,no
32,blue-collar,married,secondary,1331,yes,no,5,5,2,-1,0,unknown,no
40,self-employed,married,secondary,672,yes,no,5,5,2,-1,0,unknown,no
37,admini_management,married,tertiary,58,yes,no,5,5,2,-1,0,unknown,no
24,student,single,secondary,423,yes,no,5,5,3,-1,0,unknown,no
54,admini_management,married,tertiary,0,no,no,5,5,2,-1,0,unknown,no
34,blue-collar,married,secondary,19,yes,no,5,5,4,-1,0,unknown,no
56,blue-collar,single,primary,13,yes,no,5,5,2,-1,0,unknown,no
31,blue-collar,single,secondary,3,yes,no,5,5,2,-1,0,unknown,no
24,student,single,secondary,82,yes,no,5,5,2,-1,0,unknown,no
42,blue-collar,single,primary,28,yes,no,5,5,3,-1,0,unknown,no
57,blue-collar,married,secondary,792,yes,no,5,5,2,-1,0,unknown,no
51,admini_management,married,secondary,531,yes,no,5,5,2,-1,0,unknown,no
57,no_active_income,married,secondary,211,yes,no,5,5,2,-1,0,unknown,no
36,services,single,secondary,62,yes,no,5,5,2,-1,0,unknown,no
50,blue-collar,married,secondary,1234,yes,no,5,5,2,-1,0,unknown,no
54,admini_management,married,tertiary,313,yes,no,5,5,2,-1,0,unknown,no
55,blue-collar,married,secondary,89,yes,no,5,5,3,-1,0,unknown,no
44,blue-collar,married,secondary,129,yes,yes,5,5,2,-1,0,unknown,no
56,admini_management,married,secondary,353,yes,no,5,5,2,-1,0,unknown,no
55,services,single,primary,96,yes,yes,5,5,2,-1,0,unknown,no
37,services,single,secondary,398,yes,yes,5,5,2,-1,0,unknown,no
33,admini_management,single,tertiary,193,no,no,5,5,2,-1,0,unknown,no
46,admini_management,married,secondary,-358,yes,no,5,5,2,-1,0,unknown,no
36,blue-collar,married,secondary,539,yes,yes,5,5,2,-1,0,unknown,no
51,blue-collar,single,secondary,0,yes,no,5,5,2,-1,0,unknown,no
40,no_active_income,single,primary,0,no,no,5,5,2,-1,0,unknown,no
42,blue-collar,married,secondary,490,yes,no,5,5,2,-1,0,unknown,no
51,blue-collar,married,secondary,0,yes,no,5,5,2,-1,0,unknown,no
48,admini_management,married,secondary,161,yes,no,5,5,3,-1,0,unknown,no
32,blue-collar,single,tertiary,2558,no,no,5,5,2,-1,0,unknown,no
31,admini_management,single,secondary,98,yes,no,5,5,2,-1,0,unknown,no
55,admini_management,single,tertiary,115,no,no,5,5,4,-1,0,unknown,no
40,blue-collar,single,secondary,436,yes,no,5,5,3,-1,0,unknown,no
47,blue-collar,married,tertiary,831,yes,no,5,5,3,-1,0,unknown,no
41,blue-collar,married,secondary,290,yes,no,5,5,2,-1,0,unknown,no
48,blue-collar,married,secondary,1,no,no,5,5,3,-1,0,unknown,no
30,blue-collar,single,secondary,-457,yes,no,5,5,2,-1,0,unknown,no
58,admini_management,single,tertiary,1387,yes,no,5,5,5,-1,0,unknown,no
49,blue-collar,married,secondary,30,yes,no,5,5,4,-1,0,unknown,no
42,admini_management,single,secondary,1022,yes,no,5,5,2,-1,0,unknown,no
53,blue-collar,married,secondary,56,yes,yes,5,5,2,-1,0,unknown,no
51,admini_management,single,secondary,-2,no,no,5,5,3,-1,0,unknown,no
32,services,single,secondary,121,yes,no,5,5,2,-1,0,unknown,no
41,blue-collar,single,secondary,842,yes,no,5,5,3,-1,0,unknown,no
43,admini_management,single,secondary,693,yes,no,5,5,3,-1,0,unknown,no
40,blue-collar,single,secondary,-333,yes,no,5,5,2,-1,0,unknown,no
50,blue-collar,married,primary,1533,yes,no,5,5,2,-1,0,unknown,no
34,admini_management,married,tertiary,46,yes,no,5,5,4,-1,0,unknown,no
45,blue-collar,married,secondary,44,yes,no,5,5,4,-1,0,unknown,no
39,blue-collar,married,primary,-100,yes,no,5,5,2,-1,0,unknown,no
44,services,married,tertiary,510,yes,no,5,5,4,-1,0,unknown,no
55,admini_management,married,tertiary,685,yes,no,5,5,3,-1,0,unknown,no
46,admini_management,single,tertiary,187,yes,no,5,5,2,-1,0,unknown,no
45,blue-collar,married,secondary,66,yes,no,5,5,2,-1,0,unknown,no
34,admini_management,married,secondary,560,yes,no,5,5,3,-1,0,unknown,no
36,blue-collar,married,secondary,0,yes,no,5,5,2,-1,0,unknown,no
31,admini_management,single,secondary,12,yes,no,5,5,2,-1,0,unknown,no
44,blue-collar,single,secondary,34,yes,no,5,5,4,-1,0,unknown,no
33,self-employed,single,tertiary,1068,yes,no,5,5,2,-1,0,unknown,no
40,blue-collar,married,secondary,211,yes,no,5,5,4,-1,0,unknown,no
46,admini_management,single,tertiary,377,yes,no,5,5,2,-1,0,unknown,no
48,admini_management,married,tertiary,263,yes,no,5,5,2,-1,0,unknown,no
42,services,married,secondary,1263,yes,no,6,5,2,-1,0,unknown,no
27,services,married,secondary,8,yes,no,6,5,3,-1,0,unknown,no
48,admini_management,married,secondary,126,yes,yes,6,5,2,-1,0,unknown,no
59,admini_management,married,secondary,230,yes,no,6,5,3,-1,0,unknown,no
46,blue-collar,married,tertiary,841,yes,no,6,5,1,-1,0,unknown,no
38,admini_management,single,secondary,308,yes,no,6,5,1,-1,0,unknown,no
43,admini_management,single,tertiary,1,yes,no,6,5,1,-1,0,unknown,no
38,admini_management,single,tertiary,86,yes,no,6,5,1,-1,0,unknown,no
23,student,single,secondary,157,yes,no,6,5,1,-1,0,unknown,no
34,services,married,secondary,22,yes,no,6,5,1,-1,0,unknown,no
38,admini_management,married,secondary,46,yes,yes,6,5,1,-1,0,unknown,no
37,blue-collar,married,secondary,1293,no,no,6,5,1,-1,0,unknown,no
25,admini_management,single,secondary,122,yes,no,6,5,1,-1,0,unknown,no
49,blue-collar,single,secondary,143,yes,no,6,5,1,-1,0,unknown,no
38,admini_management,single,secondary,393,no,no,6,5,2,-1,0,unknown,no
43,blue-collar,married,primary,98,yes,no,6,5,1,-1,0,unknown,no
33,admini_management,married,tertiary,0,yes,no,6,5,1,-1,0,unknown,no
55,blue-collar,married,secondary,224,yes,no,6,5,1,-1,0,unknown,no
38,blue-collar,married,secondary,757,yes,no,6,5,1,-1,0,unknown,no
49,services,married,secondary,245,yes,yes,6,5,1,-1,0,unknown,no
40,admini_management,married,secondary,8486,no,no,6,5,3,-1,0,unknown,no
38,blue-collar,married,secondary,20,yes,no,6,5,1,-1,0,unknown,no
58,services,married,secondary,1667,yes,yes,6,5,1,-1,0,unknown,no
32,no_active_income,married,secondary,10,yes,no,6,5,4,-1,0,unknown,no
56,admini_management,married,tertiary,830,yes,yes,6,5,1,-1,0,unknown,yes
60,no_active_income,single,secondary,545,yes,no,6,5,1,-1,0,unknown,yes
37,blue-collar,married,tertiary,8730,yes,no,6,5,1,-1,0,unknown,no
46,blue-collar,single,tertiary,477,yes,no,6,5,1,-1,0,unknown,no
27,admini_management,married,secondary,4,yes,no,6,5,1,-1,0,unknown,no
43,blue-collar,married,secondary,1205,yes,no,6,5,2,-1,0,unknown,no
32,blue-collar,single,secondary,0,yes,yes,6,5,3,-1,0,unknown,no
40,admini_management,single,secondary,263,yes,no,6,5,1,-1,0,unknown,no
38,admini_management,married,secondary,1,no,no,6,5,1,-1,0,unknown,no
34,blue-collar,married,secondary,283,no,yes,6,5,1,-1,0,unknown,no
47,blue-collar,married,primary,206,yes,no,6,5,1,-1,0,unknown,no
42,housemaid,married,primary,17,yes,no,6,5,1,-1,0,unknown,no
48,blue-collar,married,secondary,141,yes,yes,6,5,1,-1,0,unknown,no
29,self-employed,single,tertiary,16,yes,no,6,5,1,-1,0,unknown,no
50,services,married,secondary,206,yes,no,6,5,1,-1,0,unknown,no
50,admini_management,married,tertiary,0,no,no,6,5,1,-1,0,unknown,no
58,no_active_income,married,tertiary,0,no,no,6,5,1,-1,0,unknown,no
46,blue-collar,single,primary,1927,yes,no,6,5,3,-1,0,unknown,no
38,blue-collar,married,secondary,284,yes,no,6,5,1,-1,0,unknown,no
46,blue-collar,married,secondary,1660,yes,no,6,5,1,-1,0,unknown,no
32,services,single,secondary,406,yes,no,6,5,1,-1,0,unknown,no
51,blue-collar,married,primary,230,yes,no,6,5,1,-1,0,unknown,no
39,admini_management,single,secondary,-25,yes,no,6,5,1,-1,0,unknown,no
48,admini_management,married,secondary,182,yes,no,6,5,2,-1,0,unknown,no
36,self-employed,married,tertiary,1169,yes,no,6,5,2,-1,0,unknown,no
34,admini_management,single,secondary,67,yes,no,6,5,1,-1,0,unknown,no
40,blue-collar,married,secondary,77,no,no,6,5,1,-1,0,unknown,no
43,no_active_income,married,secondary,0,yes,no,6,5,1,-1,0,unknown,no
52,blue-collar,single,primary,55,yes,yes,6,5,1,-1,0,unknown,no
